"";"Codigo";"Nombre";"long";"lat";"alt"
"1";28079035;"Pza. del Carmen";-3,70317222222222;40,4192083333333;657
"2";28079004;"Pza. de España";-3,71233333333333;40,4239916666667;637
"3";28079039;"Barrio del Pilar";-3,71154166666667;40,4782277777778;673
"4";28079008;"Escuelas Aguirre";-3,68231944444444;40,4215638888889;672
"5";28079038;"Cuatro Caminos";-3,70712777777778;40,4333333333333;699
"6";28079011;"Av. Ramón y Cajal";-3,67735277777778;40,4514722222222;708
"7";28079040;"Vallecas";-3,65152222222222;40,38815;677
"8";28079016;"Arturo Soria";-3,63923333333333;40,4400472222222;698
"9";28079017;"Villaverde Alto";-3,7;40,3333333333333;NA
"10";28079018;"C/ Farolillo";-3,73183333333333;40,3947777777778;581
"11";28079036;"Moratalaz";-3,64529444444444;40,4079555555556;671
"12";28079024;"Casa de Campo";-3,74734444444444;40,4193555555556;645
"13";28079027;"Barajas";-3,58002777777778;40,4769277777778;NA
"14";28079047;"Méndez Álvaro";-3,68333333333333;40,3833333333333;609
"15";28079048;"Pº. Castellana";-3,69027777777778;40,4397222222222;676
"16";28079049;"Retiro";-3,66666666666667;40,4;662
"17";28079050;"Pza. Castilla";-3,68333333333333;40,45;728
"18";28079054;"Ensanche Vallecas";-3,6;40,3727777777778;630
"19";28079055;"Urb. Embajada (Barajas)";-3,58055555555556;40,4625;619
"20";28079056;"Pza. Fdez. Ladreda";-3,71861111111111;40,3847222222222;605
"21";28079057;"Sanchinarro";-3,65;40,4833333333333;700
"22";28079058;"El Pardo";-3,76666666666667;40,5166666666667;616
"23";28079059;"Parque Juan Carlos I";-3,60888888888889;40,465;669
"24";28079060;"Tres Olivos";-3,68333333333333;40,5005555555556;715
