Codigo;Nombre
28079035;Pza. del Carmen
28079004;Pza. de España
28079039;Barrio del Pilar
28079008;Escuelas Aguirre
28079038;Cuatro Caminos
28079011;Av. Ramón y Cajal
28079040;Vallecas
28079016;Arturo Soria
28079017;Villaverde Alto
28079018;C/ Farolillo
28079036;Moratalaz
28079024;Casa de Campo
28079027;Barajas
28079047;Méndez Álvaro
28079048;Pº. Castellana
28079049;Retiro
28079050;Pza. Castilla
28079054;Ensanche Vallecas
28079055;Urb. Embajada (Barajas)
28079056;Pza. Fdez. Ladreda
28079057;Sanchinarro
28079058;El Pardo
28079059;Parque Juan Carlos I
28079060;Tres Olivos
