"PROVMUN","whichMax","Max","pcMax"
"04001","PSOE",516,44.9869224062772
"04002","PP",550,47.1698113207547
"04003","PP",6763,38.9506421701319
"04004","PSOE",310,49.0506329113924
"04005","PP",346,52.9862174578867
"04006","PSOE",2785,35.9030553048859
"04007","PSOE",369,46.125
"04008","PP",359,65.7509157509158
"04009","PSOE",43,26.7080745341615
"04010","PSOE",300,48.7012987012987
"04011","PP",1300,45.4863540937719
"04012","PP",139,58.4033613445378
"04013","ABS",60612,44.1871824219405
"04014","PSOE",97,58.433734939759
"04015","PSOE",75,48.0769230769231
"04016","PP",955,41.7760279965004
"04017","OTH",962,36.6197183098592
"04018","PSOE",196,65.5518394648829
"04019","PSOE",150,54.7445255474453
"04020","PSOE",230,62.3306233062331
"04021","PSOE",114,57
"04022","PSOE",327,51.4150943396226
"04023","PP",75,50.6756756756757
"04024","PSOE",1340,44.1079657669519
"04026","PP",52,67.5324675324675
"04027","PP",160,59.0405904059041
"04028","PSOE",143,58.8477366255144
"04029","PP",4269,39.4364896073903
"04030","PP",645,50.8675078864353
"04031","PP",1310,44.5275322909585
"04032","PSOE",1646,29.2258522727273
"04033","PSOE",104,62.2754491017964
"04034","PSOE",88,53.9877300613497
"04035","PP",3311,38.9621087314662
"04036","PP",140,53.639846743295
"04037","PSOE",677,45.7123565158677
"04038","OTH",770,24.4289340101523
"04041","PP",115,30.7486631016043
"04043","PP",280,50
"04044","PP",869,51.6954193932183
"04045","PSOE",745,39.0256678889471
"04046","PP",308,37.2881355932203
"04047","PP",1257,52.7486361728913
"04048","PSOE",891,47.6470588235294
"04049","PP",1914,37.5883739198743
"04050","PSOE",323,37.5145180023229
"04051","PSOE",231,48.9406779661017
"04052","ABS",4402,38.2649513212796
"04053","PP",4547,36.8805255900722
"04054","PP",229,56.5432098765432
"04055","PSOE",245,56.9767441860465
"04056","PP",89,52.6627218934911
"04057","PSOE",454,30.6964164976335
"04058","PSOE",156,37.1428571428571
"04059","PSOE",644,48.0238627889635
"04060","PP",256,49.4208494208494
"04061","PSOE",340,47.8199718706048
"04062","PP",2250,48.5751295336788
"04063","PP",375,30.8641975308642
"04064","ABS",1315,31.7326254826255
"04065","PSOE",223,56.0301507537689
"04066","ABS",4805,33.4237618252643
"04067","PSOE",355,52.7488855869242
"04068","PP",69,34.5
"04069","PP",2221,46.6498634740601
"04070","PP",755,40.3096636412173
"04071","PSOE",258,56.0869565217391
"04072","OTH",205,33.0645161290323
"04073","PSOE",170,44.0414507772021
"04074","PSOE",796,28.9349327517266
"04075","PP",2052,40.7871198568873
"04076","PSOE",745,55.2260934025204
"04077","PP",213,59.8314606741573
"04078","OTH",447,41.3506012950971
"04079","ABS",21364,45.9599001807073
"04080","PP",95,43.37899543379
"04081","PSOE",180,46.2724935732648
"04082","PP",221,67.3780487804878
"04083","PSOE",905,46.1264016309888
"04084","PP",146,38.7267904509284
"04085","PP",276,59.6112311015119
"04086","PP",895,44.1975308641975
"04087","PP",114,53.2710280373832
"04088","PP",936,36.1809045226131
"04089","PP",429,46.2284482758621
"04090","PSOE",242,49.8969072164948
"04091","PSOE",228,58.1632653061224
"04092","PP",1403,47.2868217054264
"04093","PP",879,38.3842794759825
"04094","PP",131,63.5922330097087
"04095","PSOE",274,34.6835443037975
"04096","PSOE",152,48.7179487179487
"04097","OTH",173,57.4750830564784
"04098","PSOE",838,49.8809523809524
"04099","PSOE",1544,29.6069031639501
"04100","ABS",2854,34.9583537481627
"04101","PP",1423,36.4218070130535
"04102","PSOE",4498,34.5920172267938
"04103","ABS",749,30.1772763900081
"04901","PSOE",309,49.44
"04902","ABS",17787,39.9824667880504
"04903","PP",1827,42.0676951416072
"11001","PSOE",1483,33.8971428571429
"11002","OTH",2022,47.1878646441073
"11003","PSOE",500,38.6100386100386
"11004","ABS",44198,50.4739282369869
"11005","PSOE",1896,40.7917383820998
"11006","ABS",7811,32.1665362599349
"11007","ABS",7632,42.2451012952507
"11008","ABS",5654,33.755223880597
"11009","PP",251,38.6748844375963
"11010","PSOE",1772,27.4473358116481
"11011","PP",442,26.1693309650681
"11012","ABS",45838,43.8687325938616
"11013","PSOE",834,35.8555460017197
"11014","ABS",6138,37.0182739279899
"11015","ABS",28755,48.3740726410174
"11016","PP",4576,31.2525611255293
"11017","OTH",1585,49.392334060455
"11018","PSOE",516,33.2260141661301
"11019","PSOE",589,31.4300960512273
"11020","ABS",65390,39.9987766087595
"11021","PP",2162,30.4036000562509
"11022","ABS",23486,48.0109571119015
"11023","OTH",3470,37.7009995654063
"11024","OTH",2317,33.8248175182482
"11025","PSOE",1574,35.9278703492353
"11026","PP",2004,41.4563508481589
"11027","ABS",31697,47.2321149175222
"11028","ABS",13498,41.8854341215168
"11029","OTH",1785,33.5400225479143
"11030","ABS",8885,39.5803635067712
"11031","ABS",35871,47.019884911324
"11032","ABS",26560,50.0291962553448
"11033","ABS",7909,38.8973589730979
"11034","PSOE",1016,42.6711465770685
"11035","ABS",4202,30.6268221574344
"11036","PSOE",339,46.5020576131687
"11037","OTH",2304,40.9018285105628
"11038","PSOE",3808,27.472765312748
"11039","PP",3653,36.1468434593311
"11040","PSOE",253,62.3152709359606
"11041","OTH",3020,30.879345603272
"11042","PSOE",541,43.0047694753577
"11901","PSOE",2245,40.2762827412989
"11902","PP",1195,33.6904426275726
"14001","PSOE",1277,34.919332786437
"14002","ABS",3015,27.5594149908592
"14003","PSOE",685,53.1007751937985
"14004","PSOE",1052,51.848201084278
"14005","OTH",2075,32.9836274042283
"14006","PP",731,55.1282051282051
"14007","PSOE",5077,31.4696584640179
"14008","OTH",698,23.9533287577213
"14009","OTH",1031,35.8733472512178
"14010","PSOE",1615,39.8077397091447
"14011","PSOE",290,47.6973684210526
"14012","OTH",2327,36.7672618107126
"14013","PP",5096,30.0170819343818
"14014","PP",878,33.4348819497334
"14015","OTH",712,32.3195642305946
"14016","OTH",584,40.7536636427076
"14017","PSOE",3719,34.7342859811338
"14018","OTH",1205,31.7021836358853
"14019","OTH",1781,27.1866890551061
"14020","PSOE",196,46.88995215311
"14021","ABS",96712,37.2535197704204
"14022","PSOE",1591,36.324200913242
"14023","PP",1091,52.200956937799
"14024","PSOE",701,35.9671626475116
"14025","OTH",1195,38.9504563233377
"14026","PP",904,43.756050338819
"14027","OTH",2285,28.6197394789579
"14028","PSOE",188,56.2874251497006
"14029","PP",1539,35.1049270072993
"14030","PSOE",2311,26.944152967238
"14031","PSOE",248,38.9324960753532
"14032","PSOE",230,52.6315789473684
"14033","PSOE",465,35.796766743649
"14034","PSOE",178,48.3695652173913
"14035","PP",2537,40.9061593034505
"14036","ABS",974,25.4773737902171
"14037","PSOE",1459,40.248275862069
"14038","ABS",10900,34.3426068874256
"14039","PSOE",1090,40.1325478645066
"14040","OTH",1217,31.9003931847969
"14041","PSOE",1007,31.2248062015504
"14042","ABS",5569,29.29510783798
"14043","PSOE",2859,36.9475316619281
"14044","PSOE",609,38.2537688442211
"14045","PSOE",1347,43.3676754668384
"14046","OTH",2381,51.9302071973828
"14047","PP",474,30.306905370844
